"","Approved.symbol","NCBI.Gene.ID","keggGene"
"15667","CCDC112",153733,"hsa:153733"
"15668","PPP1R2B",153743,"hsa:153743"
"15669","FAM71B",153745,"hsa:153745"
"15670","PRELID2",153768,"hsa:153768"
"15671","SH3RF2",153769,"hsa:153769"
"15672","PLAC8L1",153770,"hsa:153770"
"15673","RNF145",153830,"hsa:153830"
"15674","ZC2HC1B",153918,"hsa:153918"
"15675","SNRNP48",154007,"hsa:154007"
"15676","CNKSR3",154043,"hsa:154043"
"15677","RAET1L",154064,"hsa:154064"
"15678","SAMD3",154075,"hsa:154075"
"15679","SLC2A12",154091,"hsa:154091"
"15680","MBOAT1",154141,"hsa:154141"
"15681","HDGFL1",154150,"hsa:154150"
"15682","PNLDC1",154197,"hsa:154197"
"15683","RNF217",154214,"hsa:154214"
"15684","NKAIN2",154215,"hsa:154215"
"15685","KHDC3L",154288,"hsa:154288"
"15686","CFAP206",154313,"hsa:154313"
"15687","CCDC167",154467,"hsa:154467"
"15688","RUNDC3B",154661,"hsa:154661"
"15689","ABCA13",154664,"hsa:154664"
"15690","BMT2",154743,"hsa:154743"
"15691","CLEC2L",154790,"hsa:154790"
"15692","FMC1",154791,"hsa:154791"
"15693","AMOT",154796,"hsa:154796"
"15694","VKORC1L1",154807,"hsa:154807"
"15695","AMOTL1",154810,"hsa:154810"
"15696","IQUB",154865,"hsa:154865"
"15697","C7orf77",154872,"hsa:154872"
"15698","KCTD7",154881,"hsa:154881"
"15699","TMEM213",155006,"hsa:155006"
"15700","GIMAP8",155038,"hsa:155038"
"15701","CRYGN",155051,"hsa:155051"
"15702","ZNF425",155054,"hsa:155054"
"15703","ZNF746",155061,"hsa:155061"
"15704","ATP6V0E2",155066,"hsa:155066"
"15705","SLC2A7",155184,"hsa:155184"
"15706","AMZ1",155185,"hsa:155185"
"15707","METTL27",155368,"hsa:155368"
"15708","VPS37D",155382,"hsa:155382"
"15709","RBM33",155435,"hsa:155435"
"15710","AGR3",155465,"hsa:155465"
"15711","PRAG1",157285,"hsa:157285"
"15712","PEBP4",157310,"hsa:157310"
"15713","CDCA2",157313,"hsa:157313"
"15714","TMEM65",157378,"hsa:157378"
"15715","RDH10",157506,"hsa:157506"
"15716","ANKRD46",157567,"hsa:157567"
"15717","ESCO2",157570,"hsa:157570"
"15718","FBXO16",157574,"hsa:157574"
"15719","LRATD2",157638,"hsa:157638"
"15720","C8orf37",157657,"hsa:157657"
"15721","VPS13B",157680,"hsa:157680"
"15722","TDRP",157695,"hsa:157695"
"15723","ERICH1",157697,"hsa:157697"
"15724","SLC7A13",157724,"hsa:157724"
"15725","TMEM74",157753,"hsa:157753"
"15726","FAM91A1",157769,"hsa:157769"
"15727","C8orf48",157773,"hsa:157773"
"15728","MCMDC2",157777,"hsa:157777"
"15729","CLVS1",157807,"hsa:157807"
"15730","NKX6-3",157848,"hsa:157848"
"15731","KCNU1",157855,"hsa:157855"
"15732","SBSPON",157869,"hsa:157869"
"15733","CAMSAP1",157922,"hsa:157922"
"15734","LINGO2",158038,"hsa:158038"
"15735","NXNL2",158046,"hsa:158046"
"15736","MAMDC4",158056,"hsa:158056"
"15737","LCN6",158062,"hsa:158062"
"15738","AK8",158067,"hsa:158067"
