id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q96FL9	0.066	-0.017	0.027	0.25	-0.181	0.031	0.041	0.008	-0.263	0.081	0.048	0.208
Q8NFU7	-1.633	-0.173	0.313	0.952	-2.096	0.185	0.088	-0.755	-1.226	0.667	0.208	-0.551
O75830	-0.099	0.241	0.103	0.205	0.248	0.15	-0.106	0.367	0.216	0.065	-0.181	0.11
P07988	0.303	0.082	0.058	0.059	0.013	0.129	-0.074	0.213	0.108	-0.021	-0.234	-0.038
P47712	-0.132	-0.183	0.12	0.352	-0.002	-0.164	0.376	0.452	0.024	-0.151	0.165	0.369
P25054	-0.068	-0.277	0.495	0.187	-0.035	-0.155	0.291	0.091	-0.224	-0.104	0.88	0.172
Q5T5P2	0.253	NA	-0.154	0.265	-0.069	NA	-0.308	-0.016	-0.056	NA	-0.578	0.243
Q96S53	-0.164	0.009	0.034	-0.006	0.203	-0.014	-0.115	-0.043	0.235	-0.242	-0.184	-0.017
A6H8V1	0.108	0.505	-0.247	0.077	0.255	0.268	-0.034	-0.058	0.065	0.432	-0.139	-0.156
P30876	0.475	-0.509	-0.002	-0.176	-0.182	-0.047	-0.141	-0.345	-0.132	-0.264	-0.15	-0.128
Q8WYK0	0.651	0.183	-0.124	0.019	0.211	0.317	0.138	0.25	0.243	0.441	0.232	0.328
Q8N3C0	-0.156	0.151	0.124	0.316	0.161	0.021	0.124	0.837	-0.185	0.266	-0.145	0.05
P04430	0.09	-0.68	-1.894	-1.103	-0.145	-0.708	-2.098	-1.539	0.057	-0.701	-0.889	-1.261
Q9UJV8-2	0.108	0.499	-0.224	NA	0.227	0.749	-0.087	NA	-0.019	0.265	0.123	NA
Q8NEE8	-0.087	0.336	-0.25	0.103	-0.034	0.327	0.516	0.215	-0.24	0.123	1.205	0.225
Q9BXP5	-0.049	0.152	-0.394	0.171	-0.042	-0.038	-0.122	0.084	0.153	-0.205	-0.428	-0.213
Q68D10	-0.215	0.277	0.229	-0.359	-0.534	0.229	0.418	-0.235	-0.366	-0.011	0.335	0.572
Q9H252	-0.258	-0.069	-0.002	-0.036	-0.01	-0.149	-0.211	0.03	-0.109	-0.465	0.126	0.023
Q86YF9	-0.136	0.402	0.308	1.103	-0.209	0.18	0.315	-0.083	-0.249	-0.04	0.121	0.011
O60244	0.06	-0.196	0.133	NA	-0.094	-0.208	0.141	NA	0.876	0.263	0.364	NA
O95171	0.104	-0.114	0.021	-0.284	-0.076	-0.226	0.069	-0.044	-0.027	-0.309	0.153	0.081
Q13206	-1.075	0.182	-0.239	0.226	-0.232	-0.012	-1.616	0.142	0.373	-0.295	-1.294	-0.031
O75038	-0.114	0.248	0.007	-0.175	-0.006	0.136	-0.238	-0.175	-0.326	-0.052	-0.009	0
Q96QF0	-0.053	0.126	-0.064	NA	0.554	-0.072	-0.091	NA	0.882	0.608	0.111	NA
Q86UK5	0.204	0.07	-0.571	-0.178	0.162	-0.067	-0.49	-0.075	0.068	-0.249	-0.469	-0.281
Q9NX95-4	0.49	0.121	0.021	0.058	0.361	0.069	-0.072	0.2	-0.028	-0.021	-0.046	-0.122
A8K1G6	-0.143	-0.398	0.263	-0.004	-0.295	-0.64	0.186	-0.215	-0.216	-0.33	0.333	-0.007
A6NC98	0.371	-0.172	-0.085	-0.316	-0.005	-0.061	-0.451	-0.44	0.191	-0.058	-0.336	-0.282
C9IZD8	0.383	-0.378	-2.041	NA	0.062	-0.09	-2.652	NA	0.478	0.672	-1.182	NA
P07919	0.633	1.307	0.093	NA	2.464	2.013	1.236	NA	2.258	1.497	1.204	NA
O75078	-0.025	-2.439	-0.228	NA	0.24	-2.461	-0.287	NA	0.22	-2.487	-0.328	NA
Q9Y570	0.081	-0.074	-0.071	NA	-0.139	0.116	0.047	NA	0.187	0.28	0.125	NA
P14415	0.055	-0.127	-0.049	NA	-0.098	-0.061	-0.179	NA	0.008	-0.22	-0.31	NA
Q8NDH3	0.033	-0.161	0.224	NA	0.049	-0.227	0.556	NA	0.211	-0.03	0.613	NA
Q96FQ6	-0.093	-0.232	0.167	NA	0.232	-0.127	0.13	NA	0.326	-0.059	0.044	NA
Q5YLB2	0.355	-0.128	-0.117	NA	0.059	-0.227	0.41	NA	0.35	-0.197	-0.139	NA
P53804	0.225	-0.037	0.026	NA	0.281	0.02	-0.094	NA	0.232	0.135	0.088	NA
Q9C0F0	0.168	-0.581	0.419	NA	0.194	-0.518	0.249	NA	-0.004	0.136	0.298	NA
Q6ZNB6	0.354	0.131	0.058	NA	0.13	0.111	-0.151	NA	-0.009	0.057	-0.038	NA
D3DXG5	0.217	0.184	0.256	-0.2	1.091	0.215	0.335	0.081	2.231	0.44	-0.009	0.079
Q9BZ29-4	0.221	-0.33	-0.05	-0.221	-0.13	-0.241	-0.633	-0.314	-0.008	0.24	-0.055	-0.142
B3KUC5	0.334	-0.177	0.142	0.128	-0.007	-0.272	-0.029	-0.235	0.089	-0.089	0.097	0.061
P27658	0.246	-0.078	0.023	0.019	-0.281	-0.169	-0.045	0.106	0.846	0.054	0.114	-0.312
Q6DD88	-0.22	0.574	0.331	0.061	0.277	0.024	-0.192	0.024	0.702	0.357	0.135	-0.022
Q7Z2Y8	0.176	-0.088	0.024	-0.182	0.019	-0.029	-0.21	0.101	-0.253	-0.543	-0.449	0.058
B7Z772	-0.007	-0.161	-0.074	-0.031	0.001	-0.134	0.085	0.02	0.141	0.178	-0.039	-0.029
B2R932	-0.067	-0.341	0.205	-0.177	-0.211	0.086	0.287	-0.298	-0.179	0.238	0.198	-0.03
P04233	-0.1	0.012	-0.057	0.035	0.117	-0.033	-0.157	0.274	-0.099	-0.19	-0.007	0.117
Q8WYH5	1.418	0.154	-0.105	0.037	0.062	0.088	-0.098	-0.085	-0.208	0.254	0.194	0.004
Q9GZN8	-0.329	-0.027	NA	0.445	-0.018	0.203	NA	0.361	-0.039	0.048	NA	0.388
Q1RMC1	-0.14	0.014	0.008	-1.22	-0.451	-0.172	-0.06	-2.358	-0.236	-0.326	-0.451	-4.293
O15083	0.5	-0.128	0.027	0.161	0.138	-0.074	0.183	0.011	1.122	-0.027	0.192	0.099
Q9GZP0	-0.022	0.016	0.063	0.313	-0.082	-0.307	-0.264	0.453	-0.156	-0.42	0.011	0.262
Q96CW1	-0.084	-0.608	0.006	-0.251	-0.027	-0.642	0.032	0.187	0.329	-0.272	0.026	0.12
Q562E6	-0.045	-0.132	0.039	NA	0.435	-0.056	-0.032	NA	0.849	-0.036	0.082	NA
Q07617	-0.94	-0.606	-1.306	NA	-0.216	-0.399	-1.412	NA	0.04	-0.655	-0.983	NA
A7Y9J9	0.14	0.118	-0.186	-0.02	0.001	-0.856	0.306	-1.179	-0.061	0.006	-0.057	-0.088
Q8N442	0.108	-0.134	-0.036	0.105	0.088	-0.103	-0.146	0.063	0.077	-0.063	-0.05	-0.016
Q8NI38-3	0.202	-0.105	0.172	-0.108	-0.101	-0.078	-0.037	-0.302	-0.259	-0.187	-0.215	-0.107
Q8WYA0	-0.193	-0.127	0.192	-0.377	-0.105	-0.606	0.228	-0.126	-0.206	-0.763	-0.03	0.049
P62424	-0.152	NA	0.104	0.689	-0.158	NA	0.525	1.026	-0.015	NA	0.335	0.372
Q49AL5	-0.203	0.117	-0.254	0.275	0.301	0.47	0.191	0.513	0.328	0.357	0.678	0.629
Q5JNZ3	-0.105	-0.398	0.316	-0.004	-0.295	-0.64	0.297	-0.215	-0.132	-0.33	0.533	-0.007
Q9Y6N8	-0.049	0.236	0.141	NA	-0.175	0.048	0.066	NA	0.015	0.059	0.051	NA
Q4JM47	-0.162	-0.267	0.094	NA	-0.503	-0.382	0.092	NA	-0.62	-0.481	-0.211	NA
Q13283	0.027	-0.326	NA	NA	-0.119	0.044	NA	NA	0.044	-0.065	NA	NA
O60237-3	0.011	0.262	-1.709	NA	0.382	0.121	-1.625	NA	0.859	-0.04	-0.552	NA
Q5JP00	0.566	0.288	NA	NA	0.897	0.609	NA	NA	0.86	0.055	NA	NA
O14907	0.012	-0.057	NA	NA	-0.138	-0.078	NA	NA	0.146	-0.188	NA	NA
B4E0N3	0.044	-0.108	-0.078	NA	-0.127	-0.108	-0.02	NA	-0.159	0.01	-0.059	NA
Q96PE6	0.118	0.062	-0.098	NA	0.096	-0.027	-0.018	NA	-0.546	-0.05	0.028	NA
Q5J8M3	-0.06	0.538	0.171	NA	0.126	0.184	-0.105	NA	-0.217	0.171	-0.162	NA
Q7Z3I0	0.43	-0.844	-1.382	NA	0.094	-0.565	-1.069	NA	0.805	-1.224	-0.501	NA
O94874	0.173	0.33	0.189	NA	-0.019	0.066	-0.115	NA	-0.01	-0.407	-0.188	NA
P14373	0.079	-0.274	0.233	NA	0.036	-0.359	0.25	NA	0.005	-0.292	0.164	NA
Q6NSM0	0.079	0.454	-0.115	NA	-0.106	0.715	0.711	NA	-0.225	-0.061	0.447	NA
P31943	0.245	-0.202	NA	0.157	0.032	-0.108	NA	0.119	-0.358	-0.035	NA	-0.108
Q9NU22	-0.221	-0.459	NA	-0.084	-0.282	-0.237	NA	-0.019	-0.356	-0.038	NA	0.057
Q6ZV73	0.048	-1.048	NA	NA	-0.105	-1.553	NA	NA	-0.018	0.561	NA	NA
O15015	0.039	-0.511	NA	-1.132	-0.018	-0.316	NA	-1.638	-0.126	-0.488	NA	-2.301
B7Z812	0.27	0.187	NA	-0.184	0.138	-0.14	NA	-0.091	0.772	0.065	NA	-0.06
Q75N90	0.039	-0.224	NA	-0.421	-0.043	-0.268	NA	-0.166	0.07	-0.101	NA	0.225
O75443	0.08	0.28	NA	0.449	-0.162	0.043	NA	0.413	-0.264	0.397	NA	0.267
Q8NG66	0.249	-0.19	NA	-0.693	0.132	-0.174	NA	-0.579	0.107	-0.189	NA	-0.086
Q0D2K0	0.022	-0.372	NA	-0.082	0.038	-0.276	NA	0.056	-0.209	-0.195	NA	-0.105
O15523	0.23	-0.571	NA	-0.268	-0.074	-0.095	NA	0.217	0.053	-0.647	NA	-0.132
C9JVY9	-0.233	0.053	NA	NA	0.148	0.037	NA	NA	0.519	0.225	NA	NA
P01243	0.132	0.237	NA	NA	1.524	0.061	NA	NA	0.376	-0.009	NA	NA
B4DN25	-0.277	-0.09	NA	NA	0.18	-0.311	NA	NA	0.729	-0.061	NA	NA
Q6WRI0	0.089	-0.185	NA	NA	0.323	-0.153	NA	NA	0.49	-0.064	NA	NA
Q9NT68	0.132	NA	NA	NA	-0.166	NA	NA	NA	-0.067	NA	NA	NA
Q96EK6	-0.312	0.222	NA	NA	1.269	0.237	NA	NA	1.506	0.037	NA	NA
Q8TDQ1-6	0.088	-0.133	NA	NA	0.2	-0.04	NA	NA	-0.009	0.042	NA	NA
Q12802-2	0.005	-0.039	NA	NA	-0.305	0.09	NA	NA	-0.248	0.054	NA	NA
Q0IIM8	0.064	1.059	NA	NA	-0.187	0.415	NA	NA	-0.359	0.723	NA	NA
Q9UK97-3	-0.129	-0.213	NA	NA	-0.499	-0.14	NA	NA	0.153	-0.123	NA	NA
Q9NTI2	-0.019	0.257	NA	NA	0.179	-0.17	NA	NA	1.201	0.519	NA	NA
Q7LBC6	0.099	0.194	NA	NA	-0.018	0.223	NA	NA	-0.066	0.054	NA	NA
Q5VVJ2	-0.295	NA	NA	NA	0.321	NA	NA	NA	-0.157	NA	NA	NA
Q5Y7H0	-0.081	NA	-0.005	0.205	0.086	NA	-0.339	-0.128	-0.256	NA	-0.091	-0.136
P23083	0.025	NA	-1.831	-2.428	-0.241	NA	-1.995	-2.968	-0.096	NA	-0.793	-2.973
Q9H6S0	0.105	NA	-0.287	-0.556	0.046	NA	0.212	-0.474	-0.018	NA	0.146	-0.114
Q2KHM9	0.141	NA	-0.113	0.299	0.072	NA	-0.38	0.273	-0.134	NA	-0.262	0.343
Q9UDY2-5	0.135	NA	0.244	-0.218	-0.12	NA	0.459	-0.053	0.047	NA	0.38	-0.028
P01619	0.257	NA	-1.362	-1.01	0.195	NA	-1.899	-1.097	0.106	NA	-0.733	-1.38
Q9NU02	0.094	NA	0.015	NA	-0.128	NA	-0.362	NA	-0.043	NA	-0.16	NA
Q6GTX8	-0.072	NA	-0.04	-0.074	-0.051	NA	-0.156	0.086	-0.393	NA	0.07	0.183
Q8WU39	0.067	NA	-0.071	-0.055	-0.011	NA	-0.126	0.058	-0.018	NA	0.001	-0.118
Q9BZJ0	0.52	NA	0.004	-0.177	-0.457	NA	-0.031	0.129	-0.174	NA	0.036	0.203
Q7Z4H7-2	-0.136	NA	-0.061	0.245	-0.291	NA	0.047	0.021	-0.281	NA	0.129	0.245
B3KML1	0.361	NA	0.084	-0.109	0.031	NA	0.16	-0.159	0.278	NA	-0.311	-0.137
Q15878	0.377	NA	-0.316	0.26	0.694	NA	-0.322	0.204	1.026	NA	0.653	0.285
Q9UQ05	0.078	NA	-0.028	0.035	-0.202	NA	-0.133	-0.047	-0.157	NA	0.048	-0.018
Q9P2E3	0.068	NA	-0.795	-0.812	-0.566	NA	-0.197	-0.064	-0.07	NA	0.382	-0.246
Q02817	0.199	NA	-0.501	-0.547	0.175	NA	-0.055	-0.183	0.048	NA	0.346	-0.43
Q9Y264	-0.058	NA	0.173	-0.071	-0.307	NA	0.507	-0.022	-0.062	NA	0.346	0.013
P22888	0.094	NA	0.08	0.209	0.415	NA	0.347	0.364	0.406	NA	0.493	0.967
P51580	-0.141	NA	0.135	NA	-0.125	NA	-0.058	NA	-0.118	NA	-0.172	NA
Q8IZY2	-0.229	NA	-0.11	NA	0.036	NA	0.197	NA	-0.064	NA	0.385	NA
P12236	0.222	NA	NA	0.325	1.504	NA	NA	0.017	-0.003	NA	NA	0.219
Q9NVH2	0.276	NA	-0.038	0.243	0.01	NA	0.015	0.345	-0.291	NA	-0.123	0.257
Q6PD62	0.72	NA	-0.071	0.005	0.736	NA	0.019	-0.012	0.519	NA	0.262	-0.101
P16615	2.693	NA	0.554	0.356	0.058	NA	0.054	0.069	-0.007	NA	0.354	0.311
P07476	-0.24	NA	0.047	0.041	0.264	NA	0.016	-0.043	0.27	NA	0.09	-0.089
B2RU10	-0.325	NA	-0.07	-0.009	-0.262	NA	0.686	0.337	0.504	NA	0.929	-0.247
Q2V2M9	-0.302	NA	-0.034	0.024	-0.496	NA	0.128	0.009	-0.158	NA	-0.228	0.282
P15328	0.089	NA	0.208	0.125	0.042	NA	0.234	-0.117	-0.031	NA	0.217	0.02
P51816-5	0.035	NA	0.457	-0.174	-0.161	NA	0.594	-0.274	0.127	NA	0.417	-0.022
Q86YB8	0.064	NA	-0.152	-0.09	-0.088	NA	-0.217	0.155	-0.358	NA	-0.237	0.175
P17480	0.046	NA	-0.047	-1.519	-0.039	NA	0.085	-0.829	-0.139	NA	0.076	-0.382
Q5VVW2	0.29	NA	0.187	-0.02	-0.001	NA	-0.009	-0.218	-0.248	NA	-0.263	-0.152
B8ZZZ0	0.416	NA	-0.247	NA	2.662	NA	0.629	NA	2.777	NA	1.442	NA
B4DFH3	0.108	NA	0.103	NA	0.611	NA	-0.03	NA	1.267	NA	-0.041	NA
B7ZLW0	0.274	NA	-0.147	NA	0.162	NA	0.351	NA	0.26	NA	0.074	NA
P30047	-0.052	NA	0.066	NA	0.455	NA	0.27	NA	0.8	NA	0.004	NA
Q6NXS1	0.058	NA	NA	NA	0.386	NA	-0.054	NA	0.467	NA	0.41	NA
P28908	0.258	NA	-0.051	NA	-0.009	NA	-0.209	NA	-0.077	NA	-0.073	NA
Q96RP7	0.066	NA	-0.223	NA	-0.301	NA	-0.017	NA	-0.117	NA	0.061	NA
B4DRJ2	0.181	NA	NA	NA	-0.154	NA	NA	NA	0.079	NA	NA	NA
Q9Y2M0	0.128	NA	-0.153	NA	-0.088	NA	-0.339	NA	0.585	NA	-0.454	NA
Q8TF40	0.177	NA	NA	NA	0.053	NA	NA	NA	-0.111	NA	NA	NA
A6NE01	-0.284	NA	0.1	NA	-0.217	NA	0.078	NA	-0.312	NA	0.02	NA
Q8IXJ9	-0.67	NA	NA	NA	0.066	NA	NA	NA	-0.323	NA	NA	NA
Q15468-2	0.117	NA	-0.721	NA	-0.196	NA	NA	NA	0.252	NA	-1.217	NA
Q2M296-2	0.275	NA	-0.01	NA	0.188	NA	0.054	NA	-0.008	NA	-0.103	NA
Q86XN4	0.054	NA	-1.971	NA	-0.001	NA	-2.355	NA	-0.304	NA	-1.141	NA
Q2M1J6	0.021	NA	0.037	NA	0.063	NA	0.324	NA	-0.162	NA	0.061	NA
Q8NEY1	-0.297	NA	-0.099	NA	-0.211	NA	-0.309	NA	-0.138	NA	-0.346	NA
Q08AH1	-0.033	NA	NA	0.139	0.844	NA	NA	-0.093	1.183	NA	NA	0.02
Q9UN37	-0.002	NA	NA	-0.374	-0.08	NA	NA	0.176	-0.076	NA	NA	-0.001
O14558	-0.098	NA	NA	-1.129	0.167	NA	NA	-1.512	0.744	NA	NA	-0.185
A8K4E9	-0.012	NA	NA	-0.241	0.017	NA	NA	-0.099	-0.053	NA	NA	-0.022
Q9Y3T9	0.626	NA	NA	0.391	0.09	NA	NA	-0.084	1.038	NA	NA	-0.009
Q9BUP0	-0.222	NA	NA	NA	0.074	NA	NA	NA	0.584	NA	NA	NA
Q8IWU5	-0.561	0.665	0.053	-0.022	-0.06	0.78	0.135	-0.341	-0.059	0.226	0.067	0.023
Q9BTB0	0.513	0.004	-0.109	0.098	0.087	-0.086	0.092	0.414	-0.158	-0.037	0.159	0.486
P52849	-0.025	-0.035	-0.121	NA	-0.037	0.027	-0.079	NA	-0.031	-0.022	-0.101	NA
P19105	-0.111	0.015	0.288	0.53	-0.299	-0.102	0.215	0.465	-0.359	0.086	0.093	0.209
P48426	-0.381	-0.017	-0.196	-0.139	-0.641	0.098	-0.291	0.385	-0.235	0.044	-0.331	0.167
Q6IBG1	-0.111	-0.009	NA	0.478	-0.299	-0.144	NA	0.414	-0.359	0.053	NA	0.037
Q92563	0.194	0.725	0.517	0.229	0.189	0.746	0.353	0.276	1.169	0.395	0.147	0.05
A6NIR4	0.194	-0.055	0.541	-0.211	0.189	-0.003	0.388	-0.08	1.169	-0.006	0.122	-0.054
B2R6X2	0.326	-0.434	-0.101	-0.155	0.052	-0.458	-0.06	-0.371	-0.098	-0.292	0.084	0.02
Q9NWL6	0.133	0.183	-0.182	-0.184	-0.022	-0.022	-0.098	0.029	-0.07	-0.205	0.033	-0.117
Q9BT09	0.021	-0.171	NA	-0.004	-0.249	-0.191	NA	-0.167	0.075	-0.028	NA	0.018
Q9UJW2	0.101	0.052	-0.019	-0.048	-0.08	0.105	0.027	0.024	-0.041	0.008	-0.037	-0.059
P68402	-0.096	0.055	-0.085	0.27	-0.124	0.266	-0.049	0.151	-0.028	0.075	-0.245	0.165
Q9NQZ7	0.458	-0.011	-0.103	0.315	0.036	-0.049	-0.288	0.312	0.186	0.202	-0.065	0.436
Q9BYW2	-0.533	-0.287	-0.237	-0.228	0.369	-0.121	0.004	-0.146	-0.187	-0.029	0.127	-0.081
P78371	0.151	-0.106	0.03	0.341	0.106	-0.288	-0.222	0.24	-0.253	-0.05	-0.355	0.221
Q9H159	-0.117	0.014	0.051	0.018	-0.165	-0.052	0.074	-0.042	-0.176	0.083	0.12	-0.027
Q96GD0	0.167	0.118	0.148	NA	0.121	0.266	0.126	NA	0.489	0.381	0.213	NA
Q13554	0.14	0.089	-0.031	-0.061	0.025	0.029	-0.053	-0.145	0.087	0.023	0.052	0
Q01813	1.844	-0.17	-0.457	0.07	1.071	-0.156	-0.314	-0.069	0.075	0.168	-0.048	0.099
Q9Y653	0.268	0.001	-0.267	0.358	-0.141	0.084	-0.562	0.143	0.43	0.042	-1.001	0.051
P49368	-0.383	-0.151	-0.058	0.564	-0.075	-0.592	-0.179	0.701	-0.63	-0.433	-0.119	0.104
Q9P225	-0.106	-0.052	-0.309	-0.047	-0.404	-0.289	0.025	-0.361	-0.551	0.085	-0.309	-0.154
Q13085-4	-0.725	-0.216	0.178	-0.596	-0.519	-0.219	0.011	-0.607	0.112	-0.003	-0.053	-0.449
A6NDG6	-0.459	-0.004	-0.12	0.777	-0.494	0.175	0.024	-0.146	-0.276	0.363	0.367	0.767
Q1RMY5	-0.049	-0.097	-0.06	-0.047	-0.062	-0.152	0.052	-0.115	0.382	-0.046	-0.141	-0.084
Q8IZJ3	0.016	-0.01	-0.061	-0.121	0.201	-0.091	-0.031	-0.089	-0.084	0.129	0.006	-0.077
P37840	-0.223	-0.131	-0.38	0.003	-0.547	0.069	-0.346	0.017	-0.318	0.317	-0.234	0.04
B4E329	-0.027	-0.002	0.038	-0.098	-0.284	0.182	-0.201	-0.063	-0.004	0.216	-0.354	-0.104
Q6ZRR7	0.06	-0.039	0.189	-0.153	-0.179	-0.091	0.005	-0.193	-0.061	-0.157	0.017	-0.319
P27482	0.473	-0.114	0.322	0.399	0.94	0.249	0.412	0.608	0.804	0.203	-0.081	0.167
Q96Q15	-0.152	0.152	-0.122	0.244	0.058	0.166	0.067	0.369	-0.374	0.151	-0.065	0.245
Q5VT06	0.16	-0.392	-0.015	0.125	0.109	-0.592	-1.079	-0.437	-0.031	-0.152	-1.237	-0.116
Q03001-8	-0.14	-0.071	-0.443	-0.115	0.124	-0.135	-0.389	-0.092	0.179	0.061	-0.398	-0.116
Q92616	0.065	-0.202	0.065	0.101	-0.117	-0.142	0.138	0.106	-0.235	-0.012	0.066	-0.043
O94813-2	-0.185	0.075	0.01	0.135	-0.301	0.093	-0.201	0.187	-0.497	-0.039	-0.135	0.151
B7ZKM6	0.212	0.106	-0.081	-0.267	0.228	0.022	-0.117	0.044	0.06	-0.097	-0.031	-0.094
B3KXW5	-0.436	-0.034	0.305	NA	0.16	0.03	0.129	NA	0.677	0.079	-0.04	NA
B7Z6F7	0.132	-0.327	NA	-0.693	-0.368	-0.484	NA	-0.429	-0.135	-0.118	NA	0.218
Q92797	0.132	-0.648	NA	-0.441	-0.368	-0.625	NA	-0.097	-0.135	-0.075	NA	0.386
Q9BXR3	0.073	-0.242	-0.001	0.081	-0.228	-0.093	-0.215	-0.041	-0.137	-0.047	-0.197	0.195
B4E2N0	0.076	0.097	-0.105	0.29	0.13	0.107	-0.21	0.463	0.15	0.209	0.046	0.434
Q8N9M2	-0.022	-0.12	-0.337	0.106	0.332	-0.125	-0.121	0.151	0.541	-0.093	-0.16	-0.106
P31749	0.272	-0.032	0.533	0.799	0.181	0.048	0.53	0.662	0.258	0.034	0.308	0.636
Q8TD06	-0.265	-0.122	0.094	-0.281	-0.542	-0.218	0.092	-0.357	-0.865	-0.432	-0.211	-0.351
D3DRJ9	-0.377	-0.135	0.058	0.093	-0.312	-0.078	0.008	-0.046	-0.435	0.073	-0.107	0.201
Q96CZ9	0.221	0.04	-0.257	NA	0.042	-0.027	-0.216	NA	0.135	0.015	-0.43	NA
B7ZKS7	-0.052	-0.183	-0.062	NA	-0.002	-0.372	0.179	NA	-0.243	-0.144	0.255	NA
B4DYS1	-0.071	-0.021	NA	NA	0.241	-0.234	NA	NA	0.272	0.287	NA	NA
Q7Z5L7-3	0.268	-0.014	-0.073	0.045	0.03	-0.098	-0.074	-0.014	-0.04	0.115	-0.073	0.013
B2RA94	0.268	-0.014	-0.02	0.001	0.03	-0.098	-0.16	-0.007	-0.04	0.115	-0.132	-0.031
P35813	-0.023	0.102	-0.025	0.025	-0.083	0.203	0.208	0.062	0.348	0.246	-0.049	0.141
O60760	-0.137	0.001	-0.332	-0.08	-0.178	-0.08	-0.615	-0.113	-0.11	-0.125	-0.435	-0.175
Q96BY9	0.046	-0.004	0.005	NA	-0.244	-0.026	0.006	NA	-0.29	0.177	-0.048	NA
P59901	0.166	0.011	0.016	0.188	-0.123	0.025	0.029	0.13	-0.197	0.009	-0.097	0.085
Q9Y4A5	0.207	-0.524	0.181	-0.38	-0.185	-0.285	0.114	-0.1	-0.249	-0.429	0.012	-0.136
Q9BYJ0	-0.245	-0.233	-0.03	0.094	-0.452	-0.18	0.163	-0.277	-0.431	0.036	0.15	-0.363
P02458	0.117	-0.115	0.261	-0.102	0.305	-0.196	0.118	-0.065	-0.047	-0.112	0.112	-0.023
Q13041	0.157	-0.027	-0.115	-1.1	-0.099	-0.021	-0.147	-0.097	-0.47	-0.067	-0.234	-0.159
Q92562	0.413	-0.011	0.071	-0.155	0.006	-0.014	0.009	0.092	-0.08	-0.174	-0.043	0.059
Q5VVQ6-2	-0.47	-0.022	-0.528	NA	-0.229	0.29	-0.537	NA	0.112	0.019	-0.519	NA
Q6UW63	-0.054	0.124	-0.056	-0.075	0.09	0.129	-0.147	0.08	-0.042	-0.052	0.015	-0.007
P11532	-0.085	0.127	0.181	0.083	0.302	-0.11	0.19	0.299	0.439	-0.589	0.049	0.312
B4DN71	0.326	-0.006	0.166	0.388	0.229	0.043	0.319	0.318	0.345	-0.051	0.511	0.018
Q8TDW7	0.131	-0.139	-0.096	-0.225	-0.127	-0.167	0.079	-0.081	0.904	-0.176	0.022	-0.313
Q8NBF2	-0.236	-0.057	0.184	0.231	0.04	-0.147	0.128	0.123	0.576	0.034	-0.42	0.04
P16157-14	0.215	0.187	-0.053	0.058	0.401	0.136	0.184	-0.051	0.314	0.211	-0.035	0.006
P05771-2	-1.018	-0.571	0.598	0.181	-1.033	-0.699	-0.008	0.748	-0.334	-0.073	-0.971	0.903
P21817	0.301	-0.136	-0.423	-1.242	-0.006	-0.235	-0.135	-0.985	-0.094	0.114	0.251	-1.035
Q13393	-0.949	0.001	-0.065	-0.262	-0.357	-0.062	0.129	-0.352	-0.174	-0.008	0.156	0.119
B7ZLY6	-0.099	-0.213	-0.127	0.206	0.008	-0.245	-0.15	0.124	-0.068	-0.306	-0.154	0.367
B4DZF0	0.31	-0.146	0.024	-0.288	-0.099	-0.138	-0.079	-0.128	-0.009	0.024	-0.01	-0.051
Q14CN4	-1.787	-2.701	0.018	-0.009	-1.308	-2.73	0.233	-0.224	-0.977	-1.701	0.332	-0.122
P46939	0.029	0.17	-0.261	0.79	-0.038	0.061	-0.051	1.169	-0.258	-0.061	-0.535	1.126
Q96RT6	0.337	-0.374	-0.648	-0.302	-0.054	-0.354	-0.405	0.08	0.058	0.003	-0.262	0.117
B3KQA8	-0.153	-0.124	-0.216	NA	-0.388	-0.293	-0.071	NA	-0.406	-0.447	-0.026	NA
B7Z1K9	0.018	0.067	-0.12	NA	-0.1	0.218	-0.08	NA	-0.311	0.237	-0.095	NA
Q969T9	NA	-0.025	-0.343	0.239	NA	0.196	0.067	-0.065	NA	0.216	0.405	0.006
P07864	0.063	0.228	-0.043	0.158	0.297	0.342	0.118	0.17	0.519	0.582	0.585	0.332
Q9NZJ4	-0.065	-0.038	-0.235	-0.366	-0.182	0.021	0.035	-0.264	-0.208	-0.119	-0.043	-0.293
O60512	-0.023	0.061	-0.019	-0.382	-0.378	0.062	-0.186	-0.047	-0.278	0.099	-0.186	-0.347
Q8TDI0	0.377	-0.094	-1.284	-0.341	0.783	-0.184	-0.645	-0.67	1.079	-0.27	0.222	-0.544
Q5HYC2	-0.246	0.77	0.026	0.38	0.241	0.005	-0.109	0.62	0.144	-0.133	-0.005	0.432
Q96SN8	0.148	0.152	0.184	0.253	-0.169	-0.023	-0.102	0.279	-0.391	0.18	-0.183	0.096
O43665-3	-0.07	-0.315	-0.604	0.183	-0.593	-0.179	-0.54	0.545	0.121	0.065	-0.461	0.391
